hour,solar_cf,price
1,0,16.6
2,0,17.5
3,0,18.8
4,0,20.1
5,0,19.9
6,0,19.9
7,0.011697031,20
8,0.135625671,19
9,0.331881349,18.3
10,0.521731,16.2
11,0.57244069,16.2
12,0.720231888,16.2
13,0.749567375,16.1
14,0.708976384,16.1
15,0.622890528,16.1
16,0.485747214,16.1
17,0.265818346,16.2
18,0.079773687,16
19,0,15
20,0,13.2
21,0,13.3
22,0,13.8
23,0,15.9
24,0,18.9
25,0,21.9
26,0,24.8
27,0,26.2
28,0,27.1
29,0,25.7
30,0,23.3
31,0.010257533,22.2
32,0.152554885,19.3
33,0.325971049,16.4
34,0.53157461,15.2
35,0.574523626,15.2
36,0.730576239,15.5
37,0.774779558,16.1
38,0.727504307,16.9
39,0.671766763,18.2
40,0.537937116,20.1
41,0.309185614,20.7
42,0.092011645,20.8
43,0,16.1
44,0,17.6
45,0,17.4
46,0,18
47,0,19.8
48,0,22.2
49,0,23.9
50,0,25.8
51,0,24
52,0,22.4
53,0,21.6
54,0,20.7
55,0.009042373,18.7
56,0.131424303,16.6
57,0.145230068,15.6
58,0.350775616,15.2
59,0.534689462,15.6
60,0.649801753,16.2
61,0.774812932,15.7
62,0.63944803,15.5
63,0.448837213,15.8
64,0.520105381,16
65,0.2966808,16.1
66,0.102200338,16.1
67,0,15.5
68,0,12.8
69,0,12.7
70,0,13.7
71,0,16.6
72,0,20
73,0,23.1
74,0,25.4
75,0,26.1
76,0,24.9
77,0,23.2
78,0,19.7
79,0.00858997,17.2
80,0.116945785,15.6
81,0.166043503,15.1
82,0.501399655,15.3
83,0.590065214,15.6
84,0.662317042,16.1
85,0.611168906,16
86,0.625005895,17.4
87,0.512839017,18.5
88,0.460543312,19
89,0.256324573,20.3
90,0.076752818,21.2
91,0,20.3
92,0,18
93,0,17.6
94,0,18.5
95,0,20.2
96,0,22.6
97,0,24.4
98,0,24.9
99,0,24.2
100,0,22.9
101,0,22.5
102,0,20.4
103,0.009069444,18.7
104,0.110908606,19.8
105,0.308384245,19.4
106,0.532291348,19.9
107,0.65592927,20.5
108,0.758899163,21.2
109,0.766191603,21.7
110,0.737588578,22.4
111,0.638728421,22.8
112,0.49841264,23.5
113,0.292204135,25.3
114,0.089760373,26.3
115,0,23.5
116,0,22.6
117,0,22.4
118,0,24.4
119,0,26.6
120,0,25.2
121,0,30.8
122,0,36.1
123,0,35.7
124,0,33
125,0,29.4
126,0,24.3
127,0.008607684,21.2
128,0.123253102,19.7
129,0.33335637,18
130,0.436735686,18.5
131,0.66068348,19.1
132,0.694807313,18.8
133,0.785481055,20.3
134,0.725739424,21.4
135,0.639226317,22.9
136,0.451132263,23.1
137,0.287484223,24.6
138,0.089827027,25.7
139,0,22.5
140,0,21.4
141,0,21.7
142,0,23.4
143,0,25.8
144,0,26.1
145,0,32.6
146,0,33.6
147,0,33.3
148,0,29.6
149,0,26.4
150,0,22.9
151,0.007629243,19.5
152,0.121981594,18.4
153,0.337185037,17.3
154,0.528645942,16.4
155,0.644717436,17
156,0.775407504,17.1
157,0.730939002,17.7
158,0.614524499,18.6
159,0.573152854,19.5
160,0.515917153,19.9
161,0.31015584,20.8
162,0.094391147,22
163,0,22.3
164,0,19.6
165,0,19.9
166,0,21.1
167,0,23.2
168,0,26.9
169,0,29.9
170,0,31
171,0,29
172,0,26.6
173,0,23.6
174,0,19.8
175,0.007718899,17.7
176,0.114197439,17.3
177,0.256516638,17.6
178,0.526365364,18.1
179,0.635974885,18.8
180,0.546013668,19.6
181,0.359020092,20.3
182,0.509690018,21.2
183,0.32252233,21.4
184,0.46854058,22.4
185,0.249896258,23.6
186,0.071348005,24.9
187,0,22.2
188,0,21.4
189,0,21
190,0,22.1
191,0,25
192,0,28.2
193,0,30.8
194,0,32.9
195,0,32.3
196,0,31.8
197,0,29.9
198,0,26.5
199,0.004894348,22.4
200,0.078731901,19.1
201,0.371568372,16.1
202,0.334207846,14.5
203,0.671632747,14.8
204,0.563579071,15.4
205,0.841816518,16.6
206,0.789044234,17.2
207,0.578618742,18.5
208,0.520896191,19.8
209,0.302975353,20.9
210,0.101752635,21.8
211,0,21.6
212,0,19.5
213,0,20.1
214,0,21.1
215,0,23
216,0,26
217,0,28.9
218,0,29.6
219,0,30
220,0,28.6
221,0,28
222,0,23.8
223,0.006766029,20.8
