diesel_generator_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-desalination_capacity,prefix,ProbabilityWeight,ProbabilityWeight-diesel_generator_capacity
60.0,-1e+200,-3.71,-7.02,-720.0,32226481.7042,0.0,32226481.7042,32226481.7042,32226481.7042,32226481.7042,32226481.7042,2.0,0.0,2.10437710438e-06,0.125,1,0.0113636363636,0.0909090909091
180.0,-1e+200,-3.71,-7.02,-720.0,205061814.078,0.0,205061814.078,205061814.078,205061814.078,205061814.078,205061814.078,2.0,0.0,2.10437710438e-06,0.125,2,0.0284090909091,0.227272727273
360.0,-1e+200,-3.71,-7.02,-720.0,464314812.639,0.0,464314812.639,464314812.639,464314812.639,464314812.639,464314812.639,2.0,0.0,2.10437710438e-06,0.125,3,0.0340909090909,0.272727272727
540.0,-1e+200,-3.71,-7.02,-720.0,723567811.2,0.0,723567811.2,723567811.2,723567811.2,723567811.2,723567811.2,2.0,0.0,2.10437710438e-06,0.125,4,0.0340909090909,0.272727272727
720.0,-1e+200,-3.71,-7.02,-720.0,982820809.761,0.0,982820809.761,982820809.761,982820809.761,982820809.761,982820809.761,2.0,0.0,2.10437710438e-06,0.125,5,0.0170454545455,0.136363636364
60.0,-1e+200,-3.71,-7.02,-540.0,36991029.3311,0.0,36991029.3311,36991029.3311,36991029.3311,36991029.3311,36991029.3311,2.0,0.0,2.10437710438e-06,0.25,6,0.0227272727273,0.0909090909091
180.0,-1e+200,-3.71,-7.02,-540.0,209826361.705,0.0,209826361.705,209826361.705,209826361.705,209826361.705,209826361.705,2.0,0.0,2.10437710438e-06,0.25,7,0.0568181818182,0.227272727273
360.0,-1e+200,-3.71,-7.02,-540.0,469079360.266,0.0,469079360.266,469079360.266,469079360.266,469079360.266,469079360.266,2.0,0.0,2.10437710438e-06,0.25,8,0.0681818181818,0.272727272727
540.0,-1e+200,-3.71,-7.02,-540.0,728332358.827,0.0,728332358.827,728332358.827,728332358.827,728332358.827,728332358.827,2.0,0.0,2.10437710438e-06,0.25,9,0.0681818181818,0.272727272727
720.0,-1e+200,-3.71,-7.02,-540.0,987585357.387,0.0,987585357.387,987585357.387,987585357.387,987585357.387,987585357.387,2.0,0.0,2.10437710438e-06,0.25,10,0.0340909090909,0.136363636364
60.0,-1e+200,-3.71,-7.02,-360.0,42720177.5456,0.0,42720177.5456,42720177.5456,42720177.5456,42720177.5456,42720177.5456,2.0,0.0,2.10437710438e-06,0.25,11,0.0227272727273,0.0909090909091
180.0,-1e+200,-3.71,-7.02,-360.0,215555509.92,0.0,215555509.92,215555509.92,215555509.92,215555509.92,215555509.92,2.0,0.0,2.10437710438e-06,0.25,12,0.0568181818182,0.227272727273
360.0,-1e+200,-3.71,-7.02,-360.0,474808508.48,0.0,474808508.48,474808508.48,474808508.48,474808508.48,474808508.48,2.0,0.0,2.10437710438e-06,0.25,13,0.0681818181818,0.272727272727
540.0,-1e+200,-3.71,-7.02,-360.0,734061507.041,0.0,734061507.041,734061507.041,734061507.041,734061507.041,734061507.041,2.0,0.0,2.10437710438e-06,0.25,14,0.0681818181818,0.272727272727
720.0,-1e+200,-3.71,-7.02,-360.0,993314505.602,0.0,993314505.602,993314505.602,993314505.602,993314505.602,993314505.602,2.0,0.0,2.10437710438e-06,0.25,15,0.0340909090909,0.136363636364
60.0,-1e+200,-3.71,-7.02,-180.0,50347568.423,0.0,50347568.423,50347568.423,50347568.423,50347568.423,50347568.423,2.0,0.0,2.10437710438e-06,0.25,16,0.0227272727273,0.0909090909091
180.0,-1e+200,-3.71,-7.02,-180.0,223182900.797,0.0,223182900.797,223182900.797,223182900.797,223182900.797,223182900.797,2.0,0.0,2.10437710438e-06,0.25,17,0.0568181818182,0.227272727273
360.0,-1e+200,-3.71,-7.02,-180.0,482435899.358,0.0,482435899.358,482435899.358,482435899.358,482435899.358,482435899.358,2.0,0.0,2.10437710438e-06,0.25,18,0.0681818181818,0.272727272727
